"timestamp","total_users","active_users","inactive_users"
"1583107203",470,146,324
"1583193605",477,153,324
"1583280005",480,155,325
"1583366405",488,165,323
"1583452804",493,171,322
"1583539205",495,175,320
"1583625606",495,174,321
"1583712006",496,173,323
"1583798403",497,172,325
"1583884804",498,168,330
"1583971204",500,168,332
"1584057605",501,165,336
"1584144005",504,164,340
"1584230403",504,162,342
"1584316805",505,162,343
"1584403204",505,161,344
"1584489605",514,164,350
"1584576002",516,167,349
"1584662404",520,168,352
"1584748804",524,175,349
"1584835203",525,173,352
"1584921604",527,173,354
"1585008005",537,174,363
"1585094403",541,180,361
"1585180805",548,180,368
"1585267202",555,182,373
"1585353605",557,184,373
"1585440004",558,182,376
"1585522805",562,184,378
"1585609203",563,186,377
"1585695603",566,188,378
"1585782002",568,189,379
"1585868404",571,188,383
"1585954804",574,186,388
"1586041205",576,187,389
"1586127603",577,188,389
"1586214004",578,188,390
"1586300405",581,188,393
"1586386805",585,184,401
"1586473204",586,184,402
"1586559603",586,182,404
"1590410319",655,126,529
"1590416445",655,126,529
"1590447603",656,126,530
"1590534003",658,125,533
"1590620403",659,123,536
"1590706802",663,124,539
"1590793203",664,123,541
"1590879603",665,123,542
"1590966003",665,122,543
"1591052403",669,119,550
"1591138804",672,124,548
"1591225204",672,121,551
"1591311602",673,120,553
"1591398002",675,119,556
"1591484404",675,118,557
"1591570802",675,119,556
"1591657204",676,119,557
"1591743603",680,123,557
"1591830005",682,120,562
"1591916404",684,123,561
"1592002804",686,120,566
"1592089204",686,117,569
"1592175603",686,117,569
"1592262003",691,122,569
"1592348403",695,125,570
"1592434803",698,126,572
"1592521204",700,129,571
"1592607603",703,133,570
"1592694003",703,131,572
"1592780402",706,133,573
"1592866804",708,135,573
"1592953202",711,138,573
"1593039602",712,137,575
"1593126004",712,137,575
"1593212402",712,137,575
"1593298803",713,136,577
"1593385203",713,136,577
"1593471603",714,137,577
"1593558003",714,137,577
"1593644403",716,135,581
"1593730803",719,135,584
"1593817203",721,136,585
"1593903603",721,133,588
"1593990003",721,133,588
"1594076403",722,133,589
"1594162803",723,132,591
"1594249202",727,131,596
"1594335603",728,130,598
"1594422004",733,133,600
"1594508403",736,135,601
"1594594804",738,136,602
"1594681203",754,150,604
"1594767603",757,158,599
"1594854002",760,159,601
"1594940404",761,156,605
"1595026803",766,159,607
"1595113203",768,162,606
"1595199603",773,164,609
